address,token_symbol,decimal
0xb44F6092e325CC2B3dFF815e96B61395aEea574b,SHIOUN,18
0xe6b5CC1B4b47305c58392CE3D359B10282FC36Ea,USDD3CRV3CRV-f,18
0xabfcaaD3B78bFFC33CA2eb4Ef5B7282e7ACBdA77,EBTC,18
0xf34960d9d60be18cC1D5Afc1A6F012A723a28811,KCS,6
0x5efcEA234f7547de4569aad1215FA5D2adACeD38,HONK,18
0x70FaDBE1F2CCCbaF98ac88FDCf94A0509A48E46d,GL,8
0x3db045814D0a29d831fe38055CB97a956eF7cAfb,REMIT,18
0x9fa69536d1cda4A04cFB50688294de75B505a9aE,DERC,18
0x9de1c3D446237ab9BaFF74127eb4F303802a2683,STG/FRAXBP-f,18
0x53805A76E1f5ebbFE7115F16f9c87C2f7e633726,fETH,18
0x0898A3993d6F1d23ec17106C9B829ef9c2073AfB,AMG,9
0xf0A5811dA9166b32BbFa1A13C31880721AAf7f98,MAYC3780,18
0x8DA23f81C6e03239Da9Ee4cd62e4AD86534c2585,UNI-V2,18
0x7721A4cb6190EDB11d47f51C20968436ECcDAFb8,GUISE,18
0xbc695fF4eEcBEA83e577245d762890c85f4c5fb4,KEYFRAMER,9
0xb10677E2B51ac6684D9e1DA60354A10193fFcE12,ACO ETH-390USDC-C-23OCT20-0800UTC,18
0x12B72158898Ef26A0d0B30d8cA443b8A4834acE3,QUAD,18
0x220B71671b649c03714dA9c621285943f3cbcDC6,DIS,18
0xf1df7305E4BAB3885caB5B1e4dFC338452a67891,PALM,9
0x2C4F1DF9c7DE0C59778936C9b145fF56813F3295,MNTL,6
0x04f287d79dC36c81b2FF34f93ddc7Ab5fa3d7A58,DSI,18
0x83249c6794BCa5a77Eb8c0AF9F1A86E055459cea,GIGA,9
0x96055320D081ffFeF13191dB6A1Ba7F02F4De4bE,DUDAS,18
0x3e8203E0b1D56984AbC66f183A8d0b1A09a7E607,LP,9
0x43ed8ae570c88314b31D9Ac73D85a0F90D8bd9bc,UNI-V1,18
0x32b5c09df927db1a886AA70feABF3f26F5da7546,FRUIT,18
0x79fF677aF16e0e173C55ae571E5d9852A1c8f2Ff,GAX,8
0xE66747a101bFF2dBA3697199DCcE5b743b454759,GT,18
0x07a0AD7a9dfc3854466F8F29A173bf04bbA5686e,SLM,18
0xEeE690AAA67d1eE33365c02C3Bf477A93867052f,HPAY,18
0x8888801aF4d980682e47f1A9036e589479e835C5,MPH,18
0x90060AC02223Dc13136E1fa82FCc006eA295Ab8B,MOON-V1-QDAO-USDQ,18
0x936B9Fa2dA66aD90D3D5019E1a691049E06E9CdC,pLINK,18
0x1e971b5b21367888239f00Da16F0A6b0efFeCb03,LEEROY,18
0x256D1fCE1b1221e8398f65F9B36033CE50B2D497,wALV,18
0x432f0716c6cE88F52214D6333d4cbd24c699D7Fa,bUSDC,8
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,HEX,8
0x3e55AC0E6724BBe8aB40a60771B5D60fC8e93404,yxSUSHI,18
0xA5250C540914E012E22e623275E290c4dC993D11,FXNETH-f-gauge,18
0xCd7492db29E2ab436e819b249452EE1bbDf52214,SMI,8
0x6EbdA46f91e8015B94Fe5ea68Ee9426EC93bdEfd,BabyBTC,9
0x488E0369f9BC5C40C002eA7c1fe4fd01A198801c,GOF,18
0xDf801468a808a32656D2eD2D2d80B72A129739f4,CUBE,8
0x20a62aCA58526836165cA53fE67dd884288c8Abf,RNB,18
0xe99d37ac2B9cA7cEF35DB75d0a094F260578FfDa,XDoge,18
0x56ef04219a6Afe82fA298023364ecfd84f137259,DTO,18
0xcfeaa22ACac607F222A730A9AeE3aaCC54983fc1,ARB2,18
0xeaccb6E0f24d66cF4Aa6cBDa33971b9231d332a1,PGT,18
0xc5C8D306b13B2fb107FAB0184057aEc40f71c4AE,ECHO,18
0x67c597624B17b16fb77959217360B7cD18284253,MARK,9
0x06AF07097C9Eeb7fD685c692751D5C66dB49c215,CHAI,18
0x5D154E68155DA5765285874FC9eD1cA6Ce5F3A2D,PROTON,18
0x3f1c4c8849d403B60308259eD4C46394C0CCFefa,Air,18
0x0DceE5F694E492F0DD842a7FBE5BEd4C6E4665a6,CATBOY,18
0x02AD335DD3ca11c18cEBBbB583b9613b6289d75F,BPEG,18
0x64D5fEa7d2d600918b76159285994d6ed218F264,TAS,18
0x9a5AB37768374dD042DF777E71ef0566C4097182,Shidai,18
0x8Eb94A06b4716093DBfE335cbdb098DEb2dcdE1b,SHIB0.5,18
0xAF75d880b3128981D1fEd3292Fc02E3FB37Acd53,TRUTH,9
0xb8c6ad2586bB71d518C2aaf510Efe91f82022F58,GOM,18
0xc01b733B2EF479086B80949676A673346B531aa2,LEAGUE,18
0x3Eb9c7ee5F72E51F61e832137719Fe8d1E53A2ce,DMIND,9
0x398AeA1c9ceb7dE800284bb399A15e0Efe5A9EC2,sILV,18
0xfe18aE03741a5b84e39C295Ac9C856eD7991C38e,CDCETH,18
0x6BF4f9C7Bf935A5742324DC4BfE32F5c68B86028,sUSDT,6
0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,18
0x701C244b988a513c945973dEFA05de933b23Fe1D,OAX,18
0xCB67bE5c54eab9462967eE3C03C35bfFfeB801cD,GBI,18
0xc1801cB6d8Be50e41bcF79937e0365221f8b9aD4,$TIME,9
0x6F85E53B3C563D82925dC9eE1f37897afDc912E3,FRESH,9
0x9B81686140e85d28C2236c307Dd49b422A663eDf,FIRE,18
0x7945b0A6674b175695e5d1D08aE1e6F13744Abb0,BaoUSD,18
0xbD03BD923c7D51019Fd84571D84e4eBcf7213509,RCKT,18
0xDB5C3C46E28B53a39C255AA39A411dD64e5fed9c,NCR,18
0x20D5BFBa0f5c726AAd09956FD7398Acdac048858,scUSD,8
0x5A9780Bfe63f3ec57f01b087cD65BD656C9034A8,COM,12
0xaADA04204e9e1099DaF67cf3D5D137E84E41CF41,PEEPO,18
0x72E95b8931767C79bA4EeE721354d6E99a61D004,variableDebtEthUSDC,6
0x3fFEea07a27Fab7ad1df5297fa75e77a43CB5790,PEIPEI,18
0x26607aC599266b21d13c7aCF7942c7701a8b699c,PIPT,18
0x1FF8CDB51219a8838b52E9cAc09b71e591BC998e,crBUSD,8
0xEBf49B552E83805B7dE79570f0C9e8DE4dF49987,MSI,8
0xF072b401b2d34de52B9Cf66864BB098d17f9Eb21,WILD-LP,18
